city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Memphis,2039,1557435.111264303,520402.2374423001,1037032.873822003,1116665.3132764357,2674100.4245407386,3533811.881486806,486443.3778004318,4020255.259287238
Memphis,2040,1557706.7659270826,525570.9367983274,1032135.8291287553,1090463.9103799688,2648170.6763070514,3533540.2268240266,512644.7806968987,4046185.0075209253
Memphis,2041,1567364.9693140865,539805.2586198401,1027559.7106942462,1057216.6299704844,2624581.5992845707,3523882.023437023,545892.0611063831,4069774.084543406
Memphis,2042,1566568.6659508664,543204.4534798451,1023364.2124710216,1035772.663365919,2602341.3293167856,3524678.326800243,567336.0277109485,4092014.354511191
Memphis,2043,1543361.6242485663,524821.1262471268,1018540.4980014396,1015569.9412189332,2558931.5654674997,3547885.3685025433,587538.7498579343,4135424.118360477
Memphis,2044,1539203.891308979,524869.303114944,1014334.5881940348,1003134.6174814224,2542338.5087904013,3552043.1014421303,599974.0735954451,4152017.1750375754
Memphis,2045,1524501.019904093,514220.06311702775,1010280.9567870653,989780.7733605944,2514281.793264687,3566745.9728470165,613327.9177162731,4180073.8905632896
Memphis,2046,1529123.8060021447,521513.7055364108,1007610.1004657338,980367.8679640512,2509491.673966196,3562123.1867489647,622740.8231128163,4184864.009861781
Memphis,2047,1513548.6435531254,508645.6496914951,1004902.9938616304,970492.093678452,2484040.7372315773,3577698.3491979837,632616.5973984156,4210314.946596399
Memphis,2048,1527578.249197967,525409.5701868723,1002168.6790110946,968065.7802681644,2495644.0294661312,3563668.7435531425,635042.9108087032,4198711.654361846
Memphis,2049,1533541.6526874243,534993.674866985,998547.9778204391,972433.9222240328,2505975.574911457,3557705.340063685,630674.7688528347,4188380.1089165197
Memphis,2050,1561086.7405227807,565301.0187537723,995785.7217690084,979497.367861704,2540584.1083844844,3530160.252228329,623611.3232151635,4153771.5754434923
